probe,pos_rmse,x_rmse,y_rmse,theta_mae_deg,theta_median_deg,theta_flip_pct,x_r2,y_r2
chance,0.3204,0.2268,0.2264,90.0000,90.0000,50.0000,0.0000,0.0000
linear,0.0200,0.0140,0.0143,1.9682,1.6216,0.0000,0.9962,0.9960
mlp,0.0130,0.0090,0.0093,1.7479,1.4440,0.0000,0.9984,0.9983
