pose,d0,d1,d2,d3
x,0.9979,0.0358,0.3755,0.0293
y,0.0391,0.9980,0.0368,0.3530
cos_th,0.3572,0.0345,0.9994,-0.0008
sin_th,0.0315,0.3431,0.0038,0.9993
