probe,pos_rmse,x_rmse,y_rmse,theta_mae_deg,theta_median_deg,theta_flip_pct,x_r2,y_r2
chance,0.3168,0.2265,0.2214,90.0000,90.0000,50.0000,0.0000,0.0000
linear,0.0354,0.0252,0.0249,64.0225,51.4347,28.3199,0.9875,0.9874
mlp,0.0236,0.0169,0.0165,59.1970,29.0386,28.5492,0.9944,0.9944
