pose,d0,d1,d2,d3
x,0.9973,0.0308,0.3721,0.0271
y,0.0307,0.9979,0.0317,0.3545
cos_th,0.3722,0.0339,0.9989,-0.0119
sin_th,0.0274,0.3549,-0.0102,0.9989
