t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.15954,0.50864,0.73566,0.00864,42.150
2,0.17443,0.51898,0.60729,0.01898,34.795
3,0.18944,0.52677,0.47884,0.02677,27.436
4,0.20502,0.53296,0.37808,0.03296,21.662
5,0.22270,0.53838,0.29760,0.03838,17.051
6,0.23919,0.54194,0.21225,0.04194,12.161
7,0.25640,0.54387,0.11200,0.04387,6.417
8,0.27531,0.54416,0.01495,0.04416,0.857
9,0.29537,0.54350,-0.03289,0.04350,-1.884
10,0.31529,0.54245,-0.05267,0.04245,-3.018
11,0.33518,0.54069,-0.08803,0.04069,-5.044
12,0.35637,0.53871,-0.09345,0.03871,-5.354
13,0.37672,0.53696,-0.08540,0.03696,-4.893
14,0.39680,0.53516,-0.08960,0.03516,-5.134
15,0.41777,0.53321,-0.09294,0.03321,-5.325
16,0.43919,0.53202,-0.05534,0.03202,-3.171
17,0.46065,0.53121,-0.03760,0.03121,-2.154
18,0.48296,0.53079,-0.01876,0.03079,-1.075
