t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.16071,0.50956,0.72891,0.00956,41.764
2,0.17479,0.51957,0.61759,0.01957,35.385
3,0.18938,0.52744,0.49479,0.02744,28.349
4,0.20408,0.53349,0.39036,0.03349,22.366
5,0.22193,0.53903,0.30114,0.03903,17.254
6,0.23989,0.54286,0.21008,0.04286,12.037
7,0.25857,0.54522,0.12560,0.04522,7.196
8,0.27723,0.54608,0.04604,0.04608,2.638
9,0.29593,0.54625,0.00932,0.04625,0.534
10,0.31444,0.54585,-0.02192,0.04585,-1.256
11,0.33280,0.54482,-0.05556,0.04482,-3.183
12,0.35208,0.54368,-0.05949,0.04368,-3.408
13,0.37143,0.54251,-0.06023,0.04251,-3.451
14,0.39009,0.54125,-0.06735,0.04125,-3.859
15,0.41002,0.53973,-0.07624,0.03973,-4.368
16,0.42967,0.53834,-0.07058,0.03834,-4.044
17,0.44853,0.53677,-0.08300,0.03677,-4.755
18,0.46763,0.53540,-0.07185,0.03540,-4.117
