probe,pos_rmse,x_rmse,y_rmse,theta_mae_deg,theta_median_deg,x_r2,y_r2
chance,0.3168,0.2265,0.2214,90.0000,90.0000,0.0000,0.0000
linear,0.0343,0.0240,0.0245,64.3962,52.2723,0.9887,0.9877
mlp,0.0253,0.0182,0.0176,58.1058,24.0540,0.9935,0.9937
