probe,pos_rmse,x_rmse,y_rmse,theta_mae_deg,theta_median_deg,x_r2,y_r2
chance,0.3168,0.2265,0.2214,90.0000,90.0000,0.0000,0.0000
linear,0.0468,0.0342,0.0321,63.9642,51.0472,0.9771,0.9790
mlp,0.0283,0.0195,0.0205,58.8559,32.5133,0.9926,0.9914
