probe,pos_rmse,x_rmse,y_rmse,theta_mae_deg,theta_median_deg,theta_flip_pct,x_r2,y_r2
chance,0.3168,0.2265,0.2214,90.0000,90.0000,50.0000,0.0000,0.0000
linear,0.0375,0.0260,0.0271,60.4006,46.7498,25.8162,0.9868,0.9850
mlp,0.0335,0.0228,0.0246,31.5483,18.3093,8.5198,0.9898,0.9877
