probe,pos_rmse,x_rmse,y_rmse,theta_mae_deg,theta_median_deg,x_r2,y_r2
chance,0.3168,0.2265,0.2214,90.0000,90.0000,0.0000,0.0000
linear,0.0484,0.0356,0.0329,57.0632,43.4677,0.9752,0.9779
mlp,0.0339,0.0241,0.0238,25.8305,18.8493,0.9886,0.9884
