step,epoch,pred,sigreg,anchor,anchor_pred,total,latent_std
50,1,0.026332050561904907,12.597290992736816,0.4407707452774048,0.4267547130584717,0.9568439722061157,0.46717023849487305
100,1,0.0347408801317215,7.451583385467529,0.3683675527572632,0.3765670657157898,0.8169333934783936,0.6295618414878845
150,1,0.10287740081548691,5.386338233947754,0.2758741080760956,0.25922539830207825,0.6649085879325867,0.7153470516204834
200,1,0.13448280096054077,2.9671497344970703,0.23844434320926666,0.15502367913722992,0.5427865982055664,0.8222465515136719
250,1,0.14954113960266113,2.4342191219329834,0.3496924042701721,0.0939672589302063,0.60537189245224,0.8640635013580322
300,1,0.10276825726032257,2.6533918380737305,0.19576802849769592,0.07895173132419586,0.3907549977302551,0.8747561573982239
350,1,0.11426643282175064,1.974021077156067,0.17370231449604034,0.06300268322229385,0.3608415424823761,0.8786003589630127
400,1,0.07040154188871384,2.2557790279388428,0.1811390221118927,0.05389415845274925,0.3167136311531067,0.8821230530738831
450,1,0.07880042493343353,2.4007198810577393,0.15094861388206482,0.040686141699552536,0.2824387848377228,0.8888146877288818
500,1,0.06402631849050522,2.232510566711426,0.1591348499059677,0.05544595420360565,0.2897696793079376,0.8852137327194214
550,1,0.06032129377126694,2.382007598876953,0.11740462481975555,0.04715174436569214,0.23678770661354065,0.8839441537857056
600,1,0.05532076954841614,2.2448925971984863,0.13254113495349884,0.06291753053665161,0.26200389862060547,0.8678392171859741
650,1,0.0527048259973526,2.366741180419922,0.1415441334247589,0.03290678560733795,0.2389894425868988,0.8741158843040466
700,1,0.055847279727458954,2.163649797439575,0.18971116840839386,0.04203683137893677,0.2984135150909424,0.8691530823707581
750,1,0.043702974915504456,2.1415157318115234,0.17499595880508423,0.0443570576608181,0.2737635672092438,0.8758051991462708
800,1,0.04850311204791069,2.0088589191436768,0.10336004942655563,0.028983276337385178,0.19089072942733765,0.862369179725647
850,1,0.055175475776195526,2.2072277069091797,0.14217616617679596,0.038312219083309174,0.2466999888420105,0.8651868104934692
900,1,0.037698496133089066,2.24990177154541,0.07915347814559937,0.023180129006505013,0.15128161013126373,0.8727893233299255
950,1,0.04730605334043503,2.1702346801757812,0.10343501716852188,0.03447866067290306,0.19607090950012207,0.8650734424591064
1000,1,0.050746362656354904,2.1647720336914062,0.08761359751224518,0.040816355496644974,0.19000017642974854,0.8619608283042908
1050,1,0.033748529851436615,2.185065984725952,0.07681816816329956,0.02960316091775894,0.1510951817035675,0.8689788579940796
1100,1,0.04070666432380676,2.126725196838379,0.08189782500267029,0.032435961067676544,0.16567407548427582,0.8653818964958191
1150,1,0.03164543956518173,2.1117072105407715,0.06935632228851318,0.041492484509944916,0.15305277705192566,0.8643998503684998
1200,1,0.03558022528886795,2.1604976654052734,0.03498373180627823,0.017163308337330818,0.09852975606918335,0.8631719946861267
1250,1,0.03576736897230148,2.200042247772217,0.04352247342467308,0.02036367543041706,0.11065372824668884,0.864865243434906
1300,1,0.03493208810687065,2.0990781784057617,0.04737486690282822,0.025019677355885506,0.11782202124595642,0.8640053272247314
1350,1,0.041591811925172806,1.9239169359207153,0.0808093249797821,0.03809187933802605,0.17011260986328125,0.866844654083252
1400,1,0.031932178884744644,2.101337432861328,0.04040471464395523,0.022639542818069458,0.10548312216997147,0.8718562722206116
1450,1,0.03559654951095581,2.201249361038208,0.047488484531641006,0.03445441275835037,0.12854570150375366,0.8662675619125366
1500,1,0.03197897970676422,2.060378074645996,0.03203840181231499,0.016939831897616386,0.09125909954309464,0.8744118213653564
1550,1,0.03354249894618988,2.081862449645996,0.04841732978820801,0.025879867374897003,0.11824900656938553,0.8769340515136719
