pose,d0,d1,d2,d3
x,0.9962,0.0293,0.3725,0.0302
y,0.0329,0.9968,0.0337,0.3551
cos_th,0.3159,0.0348,0.9994,-0.0003
sin_th,0.0320,0.2991,-0.0002,0.9994
