pose,d0,d1,d2,d3
x,0.9974,0.0315,0.3700,-0.0053
y,0.0275,0.9974,-0.0080,0.3871
cos_th,0.3749,-0.0041,0.9990,0.0184
sin_th,-0.0035,0.3875,0.0185,0.9990
