probe,pos_rmse,x_rmse,y_rmse,theta_mae_deg,theta_median_deg,theta_flip_pct,x_r2,y_r2
chance,0.3180,0.2251,0.2246,90.0000,90.0000,50.0000,0.0000,0.0000
linear,0.0230,0.0162,0.0164,1.9280,1.6035,0.0000,0.9948,0.9947
mlp,0.0127,0.0088,0.0092,1.6916,1.3993,0.0000,0.9985,0.9983
