step,epoch,pred,pred_block,pred_free,sigreg,anchor,anchor_pred,total,latent_std
50,1,0.046336106956005096,0.0033882036805152893,0.04294790327548981,4.332401752471924,0.32835257053375244,0.32805585861206055,0.7244065403938293,0.9837312698364258
100,1,0.31551432609558105,0.06855373829603195,0.2469605803489685,3.233643054962158,0.28171032667160034,0.2811911702156067,0.894584059715271,0.9865780472755432
150,1,0.11641649901866913,0.04446415230631828,0.07195235043764114,3.187542676925659,0.14440801739692688,0.14408987760543823,0.4208521246910095,0.9921601414680481
200,1,0.11824148893356323,0.0461650975048542,0.07207639515399933,2.7891693115234375,0.07230699062347412,0.07231298089027405,0.2768073081970215,0.9850353598594666
250,1,0.10120822489261627,0.014888342469930649,0.08631987869739532,2.684906005859375,0.0318472757935524,0.03179607167840004,0.17827610671520233,0.9883211851119995
300,1,0.0701209008693695,0.006117415614426136,0.06400348246097565,2.3233346939086914,0.01071690209209919,0.010694882832467556,0.10314936190843582,0.9915252923965454
350,1,0.07600128650665283,0.005315424874424934,0.07068586349487305,2.426234722137451,0.007723940536379814,0.007714311592280865,0.10357070714235306,0.9845230579376221
400,1,0.07725979387760162,0.00919205043464899,0.06806774437427521,2.3408255577087402,0.008545364253222942,0.00853816419839859,0.10604745149612427,0.9807441830635071
450,1,0.07772064208984375,0.004176151007413864,0.07354449480772018,2.450418472290039,0.005505669862031937,0.005501770414412022,0.10098017752170563,0.9759813547134399
500,1,0.06720824539661407,0.00486865546554327,0.06233958899974823,2.443359375,0.008105411194264889,0.008082859218120575,0.09561331570148468,0.9743422865867615
550,1,0.07359820604324341,0.005194451659917831,0.06840375065803528,2.264253616333008,0.006209442857652903,0.0062094214372336864,0.09733834117650986,0.9770776033401489
600,1,0.07077320665121078,0.005567247048020363,0.06520596146583557,2.3750433921813965,0.006223814561963081,0.006204616744071245,0.09507685899734497,0.980297863483429
650,1,0.08737071603536606,0.005147337913513184,0.08222337812185287,2.616302967071533,0.01237022876739502,0.01235545240342617,0.12517790496349335,0.9889944791793823
700,1,0.12546946108341217,0.030747052282094955,0.09472240507602692,2.593331813812256,0.14824487268924713,0.14829283952713013,0.4349738359451294,0.9826434850692749
750,1,0.08063072711229324,0.006337085738778114,0.07429364323616028,3.032694101333618,0.010704576037824154,0.010686236433684826,0.11718501150608063,0.9849120378494263
800,1,0.0766601413488388,0.007246782071888447,0.06941335648298264,3.385650157928467,0.010441137477755547,0.010437224060297012,0.11446674913167953,0.977371335029602
850,1,0.13035909831523895,0.008752357214689255,0.12160674482584,3.8157222270965576,0.01889287680387497,0.018902095034718513,0.18723267316818237,0.9840199947357178
900,1,0.08648798614740372,0.008821370080113411,0.07766661792993546,2.761807918548584,0.012977414764463902,0.012944926507771015,0.12621936202049255,0.9990696310997009
950,1,0.08273963630199432,0.007164930924773216,0.07557470351457596,4.127325057983398,0.010452833026647568,0.010448924265801907,0.12427802383899689,0.9759252071380615
1000,1,0.1278761923313141,0.0069333333522081375,0.1209428533911705,3.128293514251709,0.01361840683966875,0.013627170585095882,0.17076323926448822,0.9766275882720947
1050,1,0.08962172269821167,0.007842516526579857,0.08177920430898666,3.5818543434143066,0.013913682661950588,0.013920426368713379,0.1353650987148285,0.981048583984375
1100,1,0.09964029490947723,0.006795402616262436,0.0928448960185051,3.1687188148498535,0.010332480072975159,0.010295972228050232,0.13611233234405518,0.9826369285583496
1150,1,0.0860188901424408,0.006165366154164076,0.07985352724790573,3.3367602825164795,0.01029883697628975,0.010308301076292992,0.12330982834100723,0.9827859997749329
1200,1,0.09601734578609467,0.006477131508290768,0.08954021334648132,3.007295608520508,0.009425625205039978,0.009418878704309464,0.1298983246088028,0.9824686050415039
1250,1,0.09432154148817062,0.009450221434235573,0.0848713219165802,3.3273773193359375,0.008996307849884033,0.008983293548226357,0.12893803417682648,0.9840786457061768
1300,1,0.10773830115795135,0.010951567441225052,0.096786729991436,2.962480068206787,0.01129874587059021,0.011271672323346138,0.14512112736701965,0.9812778234481812
1350,1,0.10005740821361542,0.007019296288490295,0.09303811192512512,2.806086778640747,0.011673156172037125,0.01172815915197134,0.13748915493488312,0.9883103370666504
1400,1,0.08824510872364044,0.008305583149194717,0.07993952184915543,2.6576266288757324,0.009915986098349094,0.00990296620875597,0.1213521957397461,1.0040348768234253
1450,1,0.09342128038406372,0.006713744252920151,0.08670753985643387,3.053138256072998,0.00993276946246624,0.009913044050335884,0.1285327821969986,1.0043463706970215
1500,1,0.10078311711549759,0.005919954739511013,0.094863161444664,3.1053507328033447,0.011751272715628147,0.011742557398974895,0.1398036926984787,0.9999440312385559
1550,2,0.07441893219947815,0.004647263791412115,0.0697716698050499,3.198406219482422,0.00948577281087637,0.009453043341636658,0.10934977978467941,1.0024070739746094
1600,2,0.09677831083536148,0.006285407114773989,0.09049290418624878,3.026688575744629,0.012208963744342327,0.012228500097990036,0.13634921610355377,0.9803698062896729
1650,2,0.07940109819173813,0.005116989836096764,0.07428410649299622,2.8282370567321777,0.009329644963145256,0.009357297793030739,0.11222922801971436,1.0009338855743408
1700,2,0.08415400236845016,0.00477630365639925,0.07937769591808319,2.824451446533203,0.007771024946123362,0.007764927577227354,0.11381220817565918,0.9981331825256348
1750,2,0.051558785140514374,0.004294532351195812,0.04726425185799599,3.658750057220459,0.0073805442079901695,0.0073042744770646095,0.08453734964132309,0.998444676399231
1800,2,0.08836769312620163,0.006009308155626059,0.08235838264226913,3.2116336822509766,0.007723251357674599,0.007737829349935055,0.11988694220781326,0.9765254855155945
