probe,pos_rmse,x_rmse,y_rmse,theta_mae_deg,theta_median_deg,theta_flip_pct,x_r2,y_r2
chance,0.3195,0.2260,0.2258,90.0000,90.0000,50.0000,0.0000,0.0000
linear,0.0208,0.0151,0.0143,1.6948,1.4056,0.0000,0.9955,0.9960
mlp,0.0140,0.0100,0.0097,1.5250,1.2707,0.0000,0.9980,0.9981
