probe,pos_rmse,x_rmse,y_rmse,theta_mae_deg,theta_median_deg,theta_flip_pct,x_r2,y_r2
chance,0.3195,0.2260,0.2258,90.0000,90.0000,50.0000,0.0000,0.0000
linear,0.0213,0.0153,0.0149,1.7012,1.4157,0.0000,0.9954,0.9957
mlp,0.0208,0.0149,0.0145,1.6715,1.3957,0.0000,0.9957,0.9959
