pose,d0,d1,d2,d3
x,0.9977,0.0055,0.3890,0.0494
y,0.0118,0.9978,0.0104,0.3520
cos_th,0.3914,0.0100,0.9993,-0.0003
sin_th,0.0503,0.3554,-0.0028,0.9992
