t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.15908,0.50813,0.72974,0.00813,41.811
2,0.17207,0.51715,0.60724,0.01715,34.792
3,0.18557,0.52435,0.48984,0.02435,28.066
4,0.19981,0.53001,0.37860,0.03001,21.692
5,0.21744,0.53521,0.28680,0.03521,16.433
6,0.23483,0.53854,0.18902,0.03854,10.830
7,0.25303,0.54043,0.10387,0.04043,5.951
8,0.27188,0.54096,0.02790,0.04096,1.599
9,0.29070,0.54087,-0.00453,0.04087,-0.260
10,0.30920,0.54037,-0.02716,0.04037,-1.556
11,0.32749,0.53935,-0.05577,0.03935,-3.195
12,0.34730,0.53815,-0.06055,0.03815,-3.469
13,0.36709,0.53701,-0.05756,0.03701,-3.298
14,0.38596,0.53572,-0.06800,0.03572,-3.896
15,0.40599,0.53425,-0.07327,0.03425,-4.198
16,0.42699,0.53303,-0.05815,0.03303,-3.332
17,0.44668,0.53187,-0.05910,0.03187,-3.386
18,0.46670,0.53086,-0.05002,0.03086,-2.866
