t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.16349,0.51179,0.71800,0.01179,41.138
2,0.17977,0.52291,0.59940,0.02291,34.343
3,0.19754,0.53240,0.49067,0.03240,28.113
4,0.21504,0.53962,0.39087,0.03962,22.395
5,0.23557,0.54617,0.30901,0.04617,17.705
6,0.25632,0.55092,0.22520,0.05092,12.903
7,0.27847,0.55396,0.13630,0.05396,7.809
8,0.30082,0.55534,0.06187,0.05534,3.545
9,0.32288,0.55614,0.03599,0.05614,2.062
10,0.34443,0.55668,0.02501,0.05668,1.433
11,0.36611,0.55651,-0.00773,0.05651,-0.443
12,0.38891,0.55610,-0.01793,0.05610,-1.027
13,0.41128,0.55546,-0.02865,0.05546,-1.642
14,0.43325,0.55419,-0.05780,0.05419,-3.312
15,0.45636,0.55208,-0.09086,0.05208,-5.206
16,0.47933,0.55012,-0.08543,0.05012,-4.895
17,0.50174,0.54797,-0.09546,0.04797,-5.470
18,0.52438,0.54602,-0.08596,0.04602,-4.925
