pose,d0,d1,d2,d3
x,0.9965,-0.0371,0.4149,-0.0558
y,-0.0316,0.9964,0.0339,0.3671
cos_th,0.4027,0.0051,0.9868,0.0080
sin_th,-0.0646,0.3579,0.0040,0.9826
