probe,pos_rmse,x_rmse,y_rmse,theta_mae_deg,theta_median_deg,theta_flip_pct,x_r2,y_r2
chance,0.3171,0.2261,0.2224,90.0000,90.0000,50.0000,0.0000,0.0000
linear,0.0266,0.0185,0.0190,4.9492,4.0624,0.0000,0.9933,0.9927
mlp,0.0200,0.0141,0.0142,3.9194,3.2183,0.0000,0.9961,0.9959
