pose,d0,d1,d2,d3
x,0.9932,0.0421,0.4546,0.0267
y,0.0486,0.9934,0.0354,0.4294
cos_th,0.3833,0.0359,0.9978,-0.0034
sin_th,0.0291,0.3684,-0.0018,0.9977
