pose,d0,d1,d2,d3
x,0.9980,0.0369,0.3711,0.0275
y,0.0382,0.9986,0.0382,0.3552
cos_th,0.3617,0.0346,0.9994,-0.0034
sin_th,0.0321,0.3451,0.0035,0.9993
