model,final_lat,final_head_deg,max_excursion,rms_lat,in_bounds,mean_speed,speed_err
bicycle (oracle),0.0466,5.9506,0.0701,0.0584,1,0.1759,0.0741
ego (gray-box),0.0495,4.6118,0.0793,0.0632,1,0.1969,0.0531
grounded,0.0390,6.1715,0.0733,0.0571,1,0.2015,0.0485
