probe,pos_rmse,x_rmse,y_rmse,theta_mae_deg,theta_median_deg,theta_flip_pct,x_r2,y_r2
chance,0.3158,0.2215,0.2250,90.0000,90.0000,50.0000,0.0000,0.0000
linear,0.0220,0.0152,0.0159,1.9004,1.5751,0.0000,0.9953,0.9950
mlp,0.0140,0.0104,0.0094,1.6927,1.4132,0.0000,0.9978,0.9983
