pose,d0,d1,d2,d3
x,0.9976,0.0307,0.3710,0.0309
y,0.0299,0.9975,0.0339,0.3549
cos_th,0.3691,0.0337,0.9990,0.0006
sin_th,0.0264,0.3484,0.0007,0.9989
