probe,pos_rmse,x_rmse,y_rmse,theta_mae_deg,theta_median_deg,theta_flip_pct,x_r2,y_r2
chance,0.3158,0.2215,0.2250,90.0000,90.0000,50.0000,0.0000,0.0000
linear,0.0220,0.0153,0.0158,1.9712,1.6453,0.0000,0.9952,0.9951
mlp,0.0198,0.0141,0.0140,1.8088,1.4954,0.0000,0.9960,0.9962
