probe,pos_rmse,x_rmse,y_rmse,theta_mae_deg,theta_median_deg,x_r2,y_r2
chance,0.3168,0.2265,0.2214,90.0000,90.0000,0.0000,0.0000
linear,0.0728,0.0494,0.0535,64.7082,51.5830,0.9522,0.9416
mlp,0.0407,0.0285,0.0291,53.9103,21.5405,0.9841,0.9827
