step,epoch,total,recon,dyn,pred_recon,var,a_v,a_omega,state_std,std0,std1,std2,std3
50,1,0.8239864110946655,0.39340996742248535,0.0036422484554350376,0.426934152841568,0.0,1.0,1.0,0.4398159980773926,0.35641950368881226,0.2916431725025177,0.6899561285972595,0.42124518752098083
100,1,0.6513781547546387,0.29079416394233704,0.002853469457477331,0.357730507850647,0.0,1.0,1.0,0.3696020841598511,0.3465712070465088,0.20713761448860168,0.6043034791946411,0.3203960359096527
150,1,0.5082206130027771,0.21606647968292236,0.0028559076599776745,0.2892982065677643,0.0,1.0,1.0,0.3798845149576664,0.2984156906604767,0.15841813385486603,0.6439803838729858,0.41872385144233704
200,1,0.4614386558532715,0.19540151953697205,0.00238323537632823,0.2636539041996002,0.0,1.0,1.0,0.41362930461764336,0.3232046961784363,0.184258833527565,0.6933491826057434,0.45370450615882874
250,1,0.41718244552612305,0.1742977499961853,0.0028357706032693386,0.24004891514778137,0.0,1.0,1.0,0.40046076104044914,0.3038695454597473,0.15666867792606354,0.6925516724586487,0.44875314831733704
300,1,0.35392922163009644,0.15542161464691162,0.002696538344025612,0.19581106305122375,0.0,1.0,1.0,0.41269269958138466,0.32608532905578613,0.18460752069950104,0.6784980297088623,0.46157991886138916
350,1,0.3728691041469574,0.1841108500957489,0.0024408551398664713,0.18631739914417267,0.0,1.0,1.0,0.39730947464704514,0.3489658236503601,0.16927629709243774,0.6700345873832703,0.4009611904621124
400,2,0.3179005980491638,0.14421087503433228,0.0025715455412864685,0.17111817002296448,0.0,1.0,1.0,0.3998943902552128,0.34013068675994873,0.17293156683444977,0.6839975118637085,0.40251779556274414
450,2,0.3013879358768463,0.1376766413450241,0.0024630913976579905,0.16124820709228516,0.0,1.0,1.0,0.4101669527590275,0.33566197752952576,0.16642926633358002,0.6871669292449951,0.45140963792800903
500,2,0.3039543926715851,0.12413594871759415,0.0025428980588912964,0.17727553844451904,0.0,1.0,1.0,0.4010070227086544,0.33998772501945496,0.1502162665128708,0.6813243627548218,0.4324997365474701
550,2,0.31484922766685486,0.12778115272521973,0.002669773530215025,0.18439830839633942,0.0,1.0,1.0,0.4265037216246128,0.36691200733184814,0.18709062039852142,0.6942752599716187,0.457736998796463
600,2,0.2937147915363312,0.13178159296512604,0.0028736023232340813,0.15905959904193878,0.0,1.0,1.0,0.42105675116181374,0.35324838757514954,0.162992462515831,0.6995931267738342,0.4683930277824402
650,2,0.3029552400112152,0.12569847702980042,0.002800833899527788,0.174455925822258,0.0,1.0,1.0,0.4303240478038788,0.3460966646671295,0.17990219593048096,0.7136456966400146,0.48165163397789
700,2,0.2882434129714966,0.12381623685359955,0.0028945324011147022,0.16153262555599213,0.0,1.0,1.0,0.4156234599649906,0.3505103886127472,0.1883040815591812,0.6568624973297119,0.46681687235832214
750,2,0.2784259617328644,0.12226767092943192,0.0027428418397903442,0.15341544151306152,0.0,1.0,1.0,0.4386226609349251,0.3471977114677429,0.18131902813911438,0.7251313924789429,0.5008425116539001
800,3,0.30571073293685913,0.15956127643585205,0.0027580030728131533,0.1433914750814438,0.0,1.0,1.0,0.4332217611372471,0.35350120067596436,0.16018088161945343,0.705489993095398,0.5137149691581726
850,3,0.2771908938884735,0.1170831173658371,0.002635491080582142,0.15747228264808655,0.0,1.0,1.0,0.4344700165092945,0.31449663639068604,0.17872460186481476,0.7376394271850586,0.5070194005966187
900,3,0.2669160068035126,0.10787162184715271,0.003178984858095646,0.1558654010295868,0.0,1.0,1.0,0.447606660425663,0.3237418830394745,0.1721215844154358,0.7437964677810669,0.5507667064666748
950,3,0.25663894414901733,0.10644123703241348,0.0024690241552889347,0.14772866666316986,0.0,1.0,1.0,0.4465358480811119,0.34016552567481995,0.1848992109298706,0.7175317406654358,0.5435469150543213
1000,3,0.24813303351402283,0.11381237208843231,0.0028438158333301544,0.13147684931755066,0.0,1.0,1.0,0.45989587530493736,0.3494887948036194,0.20350705087184906,0.7318992614746094,0.5546883940696716
1050,3,0.24880626797676086,0.10899637639522552,0.003043075557798147,0.13676682114601135,0.0,1.0,1.0,0.45502955466508865,0.3270271122455597,0.17104852199554443,0.7511345148086548,0.5709080696105957
1100,3,0.23948454856872559,0.1046249270439148,0.0028169353026896715,0.13204269111156464,0.0,1.0,1.0,0.4623381197452545,0.3295324444770813,0.19489067792892456,0.7411139607429504,0.5838153958320618
1150,3,0.23448067903518677,0.10629910230636597,0.0032113585621118546,0.1249702125787735,0.0,1.0,1.0,0.447337981313467,0.33526289463043213,0.17903940379619598,0.716667115688324,0.558382511138916
1200,4,0.23430204391479492,0.10301913321018219,0.003430361393839121,0.12785255908966064,0.0,1.0,1.0,0.4626256600022316,0.32196030020713806,0.17675596475601196,0.7434753775596619,0.6083109974861145
1250,4,0.2402428835630417,0.1216944083571434,0.0027125622145831585,0.11583591252565384,0.0,1.0,1.0,0.4689842127263546,0.34760206937789917,0.19718043506145477,0.7360246777534485,0.595129668712616
1300,4,0.2276143580675125,0.09975767880678177,0.0035717985592782497,0.12428487837314606,0.0,1.0,1.0,0.45883452892303467,0.3535700738430023,0.20340368151664734,0.7133828401565552,0.5649815201759338
1350,4,0.2179974913597107,0.09308242052793503,0.0033759649377316236,0.12153910100460052,0.0,1.0,1.0,0.46116307750344276,0.3157013952732086,0.1784762591123581,0.7418991923332214,0.6085754632949829
1400,4,0.21095556020736694,0.09190074354410172,0.0027579476591199636,0.11629687249660492,0.0,1.0,1.0,0.47894958034157753,0.34847313165664673,0.1951281577348709,0.7603219151496887,0.6118751168251038
1450,4,0.21607638895511627,0.09983678162097931,0.0030646983068436384,0.1131749078631401,0.0,1.0,1.0,0.4647647328674793,0.3404926359653473,0.17423991858959198,0.7539048790931702,0.5904214978218079
1500,4,0.20584389567375183,0.08950307220220566,0.0029835065361112356,0.11335732787847519,0.0,1.0,1.0,0.46823184564709663,0.34130194783210754,0.18667922914028168,0.7569018006324768,0.5880444049835205
1550,4,0.2086644023656845,0.09344397485256195,0.0029731064569205046,0.11224731802940369,0.0,1.0,1.0,0.47188321128487587,0.3415028154850006,0.1848115175962448,0.7511763572692871,0.610042154788971
1600,5,0.2187090516090393,0.0921192392706871,0.003504561260342598,0.12308526039123535,0.0,1.0,1.0,0.47439953684806824,0.3482206463813782,0.19043081998825073,0.7313389778137207,0.6276077032089233
1650,5,0.20979124307632446,0.08569607883691788,0.003919894807040691,0.12017527967691422,0.0,1.0,1.0,0.4755838140845299,0.3204960823059082,0.2031187117099762,0.7463971376419067,0.6323233246803284
1700,5,0.1897837519645691,0.08521412312984467,0.003051142208278179,0.10151848196983337,0.0,1.0,1.0,0.4768468663096428,0.3258703052997589,0.20006543397903442,0.7275457978248596,0.6539059281349182
1750,5,0.18838566541671753,0.07741300761699677,0.0037340023554861546,0.10723865032196045,0.0,1.0,1.0,0.48220180720090866,0.3501625657081604,0.19960615038871765,0.7271760106086731,0.6518625020980835
1800,5,0.20526668429374695,0.0983261838555336,0.003432093420997262,0.10350841283798218,0.0,1.0,1.0,0.4740610271692276,0.3193050026893616,0.19364315271377563,0.7559557557106018,0.6273401975631714
1850,5,0.18898162245750427,0.08412972837686539,0.0033618221059441566,0.1014900654554367,0.0,1.0,1.0,0.4698748476803303,0.3288927972316742,0.17697124183177948,0.7528976798057556,0.6207376718521118
1900,5,0.19892165064811707,0.07662270963191986,0.0034171566367149353,0.11888178437948227,0.0,1.0,1.0,0.4798174984753132,0.3235391676425934,0.2115297168493271,0.7544867992401123,0.62971431016922
1950,6,0.18593564629554749,0.07997433096170425,0.0035110795870423317,0.10245024412870407,0.0,1.0,1.0,0.47793233022093773,0.33616936206817627,0.20350514352321625,0.7370613813400269,0.6349934339523315
2000,6,0.18547844886779785,0.08185239881277084,0.0033845691941678524,0.10024148970842361,0.0,1.0,1.0,0.4804068095982075,0.3531683087348938,0.19326253235340118,0.7188587784767151,0.6563376188278198
2050,6,0.18035702407360077,0.07026612013578415,0.0036409334279596806,0.10644996911287308,0.0,1.0,1.0,0.47837286069989204,0.34017592668533325,0.1882718950510025,0.7419933080673218,0.6430503129959106
2100,6,0.1878473162651062,0.07139133661985397,0.0036681052297353745,0.1127878800034523,0.0,1.0,1.0,0.4734157584607601,0.3340759575366974,0.19053448736667633,0.756569504737854,0.6124830842018127
2150,6,0.1755337119102478,0.07628302276134491,0.0035583581775426865,0.09569233655929565,0.0,1.0,1.0,0.48343245312571526,0.33639979362487793,0.2040971964597702,0.7325872778892517,0.6606455445289612
2200,6,0.20380660891532898,0.07094353437423706,0.003914543893188238,0.12894852459430695,0.0,1.0,1.0,0.48407768458127975,0.33416786789894104,0.20728445053100586,0.7428226470947266,0.6520357728004456
2250,6,0.1941777616739273,0.07683780789375305,0.004247942008078098,0.11309201270341873,0.0,1.0,1.0,0.48033855855464935,0.3325031101703644,0.21364673972129822,0.7232344150543213,0.6519699692726135
2300,6,0.17544008791446686,0.07388865947723389,0.0038668198976665735,0.09768460690975189,0.0,1.0,1.0,0.47739798203110695,0.3315451443195343,0.19790802896022797,0.755391001701355,0.6247477531433105
2350,7,0.18053412437438965,0.07188895344734192,0.004053467884659767,0.10459170490503311,0.0,1.0,1.0,0.4848395958542824,0.32440173625946045,0.20453301072120667,0.7225614786148071,0.6878621578216553
