probe,pos_rmse,x_rmse,y_rmse,theta_mae_deg,theta_median_deg,theta_flip_pct,x_r2,y_r2
chance,0.3171,0.2261,0.2224,90.0000,90.0000,50.0000,0.0000,0.0000
linear,0.0591,0.0419,0.0417,6.6687,5.4904,0.0180,0.9656,0.9648
mlp,0.0552,0.0388,0.0393,6.2047,5.0265,0.0180,0.9705,0.9687
