probe,pos_rmse,x_rmse,y_rmse,theta_mae_deg,theta_median_deg,theta_flip_pct,x_r2,y_r2
chance,0.3171,0.2261,0.2224,90.0000,90.0000,50.0000,0.0000,0.0000
linear,0.0567,0.0400,0.0402,6.4495,5.3256,0.0180,0.9687,0.9673
mlp,0.0287,0.0208,0.0197,5.0348,4.2175,0.0120,0.9915,0.9921
