pose,d0,d1,d2,d3
x,-0.0521,-0.0184,0.0173,0.0504
y,-0.1068,0.1362,0.1699,-0.0656
cos_th,0.0148,-0.0852,0.1224,-0.1837
sin_th,0.0091,-0.0592,-0.0315,-0.0612
