probe,pos_rmse,x_rmse,y_rmse,theta_mae_deg,theta_median_deg,theta_flip_pct,x_r2,y_r2
chance,0.3204,0.2268,0.2264,90.0000,90.0000,50.0000,0.0000,0.0000
linear,0.0118,0.0083,0.0084,1.9488,1.6387,0.0000,0.9987,0.9986
mlp,0.0087,0.0063,0.0060,1.6917,1.4249,0.0000,0.9992,0.9993
