probe,pos_rmse,x_rmse,y_rmse,theta_mae_deg,theta_median_deg,theta_flip_pct,x_r2,y_r2
chance,0.3171,0.2261,0.2224,90.0000,90.0000,50.0000,0.0000,0.0000
linear,0.0220,0.0150,0.0161,3.4734,2.3499,0.0360,0.9956,0.9948
mlp,0.0185,0.0128,0.0133,2.0739,1.6809,0.0000,0.9968,0.9964
