pose,d0,d1,d2,d3
x,0.9984,0.0376,0.3727,-0.0001
y,0.0349,0.9975,-0.0010,0.3846
cos_th,0.3658,-0.0039,0.9995,0.0302
sin_th,-0.0029,0.3787,0.0299,0.9994
