step,epoch,recon,dyn,pred_recon,var,l1,anchor,anchor_pred,total,latent_std
50,1,0.5244200825691223,0.006392599083483219,0.5342546105384827,0.0,0.24619364738464355,0.30306464433670044,0.2949630320072174,1.6633411645889282,0.4669373631477356
100,1,0.38459065556526184,0.005747160408645868,0.37748533487319946,0.0,0.26870405673980713,0.27350282669067383,0.24608322978019714,1.2876780033111572,0.46133655309677124
150,1,0.35819974541664124,0.006771184504032135,0.3502766191959381,0.0,0.2769322097301483,0.34359365701675415,0.30534809827804565,1.3644661903381348,0.45225921273231506
200,1,0.3159824013710022,0.008611327037215233,0.30872488021850586,0.0,0.2791670262813568,0.3082020878791809,0.2752591073513031,1.2170588970184326,0.46183687448501587
250,1,0.30014312267303467,0.0059010619297623634,0.2933557629585266,0.0,0.279682993888855,0.30812615156173706,0.27552470564842224,1.1833304166793823,0.45684194564819336
300,1,0.2779378890991211,0.006083725951611996,0.26470598578453064,0.0,0.2798823118209839,0.2736496925354004,0.24659495055675507,1.0692522525787354,0.45939356088638306
350,1,0.2793884873390198,0.00648343563079834,0.27146416902542114,0.0,0.2794490158557892,0.27243465185165405,0.2444627583026886,1.0745129585266113,0.47228899598121643
400,1,0.27323928475379944,0.006730413995683193,0.2667454183101654,0.0,0.27772802114486694,0.27320584654808044,0.24488765001296997,1.0650863647460938,0.47997602820396423
450,1,0.26817643642425537,0.009135758504271507,0.26002979278564453,0.0,0.2745499014854431,0.17353171110153198,0.15844964981079102,0.869597852230072,0.4834509789943695
500,1,0.26118361949920654,0.011078031733632088,0.257966548204422,0.0,0.26707085967063904,0.04121137410402298,0.03993082791566849,0.6116374731063843,0.4969426095485687
550,1,0.21929523348808289,0.007775423116981983,0.2228659689426422,0.0,0.25770777463912964,0.012303476221859455,0.014322333037853241,0.4768201410770416,0.4964885711669922
600,1,0.21079230308532715,0.005388960242271423,0.2106141299009323,0.0,0.24689090251922607,0.009423153474926949,0.010163486003875732,0.4466289281845093,0.49603989720344543
650,1,0.20054209232330322,0.0034074047580361366,0.2017068713903427,0.0,0.23723018169403076,0.0077752056531608105,0.007788693532347679,0.4214574992656708,0.495845228433609
700,1,0.20411799848079681,0.002987903542816639,0.20308534801006317,0.0,0.23247575759887695,0.006910447962582111,0.00689784437417984,0.42423200607299805,0.4947299361228943
750,1,0.1886925846338272,0.0025755823589861393,0.19077186286449432,0.0,0.22905251383781433,0.005543199367821217,0.00543334661051631,0.3932456374168396,0.48802974820137024
800,1,0.18664036691188812,0.0021709720604121685,0.1906111240386963,0.0,0.22628812491893768,0.005033864639699459,0.005013548769056797,0.3896961510181427,0.4883299767971039
850,1,0.1863911896944046,0.0018636389868333936,0.1874949187040329,0.0,0.22359628975391388,0.0048944042064249516,0.004862038418650627,0.3857298195362091,0.4895458519458771
900,1,0.17793816328048706,0.0019729139748960733,0.17998512089252472,0.0,0.2210262566804886,0.003740741638466716,0.003752943128347397,0.3676108717918396,0.4935676157474518
950,1,0.17532116174697876,0.0015936391428112984,0.17938123643398285,0.0,0.21859332919120789,0.003939476795494556,0.003974040038883686,0.36442816257476807,0.4902060925960541
1000,1,0.16706828773021698,0.0014916479121893644,0.16720452904701233,0.0,0.21609072387218475,0.0036281184293329716,0.003629677928984165,0.34323835372924805,0.48732757568359375
1050,1,0.16980724036693573,0.0015099986921995878,0.17104920744895935,0.0,0.21352559328079224,0.003387570846825838,0.003421240486204624,0.34938880801200867,0.489006906747818
1100,1,0.16474883258342743,0.0017985138110816479,0.16676080226898193,0.0,0.2112342119216919,0.0032504124101251364,0.0032397378236055374,0.34000954031944275,0.486603319644928
1150,1,0.16876399517059326,0.0020988653413951397,0.17355145514011383,0.0,0.20874857902526855,0.003061221446841955,0.0030436678789556026,0.350727915763855,0.48939818143844604
1200,1,0.16171351075172424,0.001360192196443677,0.1664092093706131,0.0,0.20612408220767975,0.002701306249946356,0.002704253885895014,0.3350945711135864,0.48205122351646423
1250,1,0.16626010835170746,0.0015990645624697208,0.1687944531440735,0.0,0.20367565751075745,0.002545530442148447,0.002536425832659006,0.341939240694046,0.48406460881233215
1300,1,0.15854230523109436,0.0012076376006007195,0.15926362574100494,0.0,0.2013050764799118,0.0024039465934038162,0.0023813466541469097,0.32400017976760864,0.482117623090744
1350,1,0.15835942327976227,0.0014050991740077734,0.1602509617805481,0.0,0.1987297385931015,0.002677041105926037,0.0026628924533724785,0.32555413246154785,0.4823509454727173
1400,1,0.1576019823551178,0.0011238710721954703,0.1599908471107483,0.0,0.19622758030891418,0.0024687540717422962,0.0024632392451167107,0.32384490966796875,0.479715496301651
1450,1,0.15873658657073975,0.0010135158663615584,0.15773576498031616,0.0,0.19339552521705627,0.0020707554649561644,0.0020680574234575033,0.321818083524704,0.4817342460155487
1500,1,0.15220141410827637,0.000938603887334466,0.1526813954114914,0.0,0.19066539406776428,0.0020937290973961353,0.0020992825739085674,0.3102051019668579,0.4785431921482086
1550,1,0.15158677101135254,0.0011921857949346304,0.15440165996551514,0.0,0.188253253698349,0.0020274436101317406,0.0020228568464517593,0.31141918897628784,0.4793633818626404
1600,1,0.1567838042974472,0.0013825714122503996,0.1579311043024063,0.0,0.18576788902282715,0.00207012752071023,0.002070097252726555,0.3204234838485718,0.47769641876220703
1650,1,0.1527818888425827,0.0010273066582158208,0.15389476716518402,0.0,0.18301957845687866,0.0017480733804404736,0.001751716947183013,0.31138676404953003,0.4808676242828369
1700,1,0.15158137679100037,0.0010947254486382008,0.1491471230983734,0.0,0.18059873580932617,0.0017796247266232967,0.0017882251413539052,0.30557167530059814,0.47540542483329773
1750,1,0.15221494436264038,0.0012403024593368173,0.15262934565544128,0.0,0.17792248725891113,0.0019977418705821037,0.002007405273616314,0.3102676272392273,0.4779789447784424
1800,1,0.15131071209907532,0.0009982702322304249,0.15258759260177612,0.0,0.17526039481163025,0.0016626890283077955,0.001674917060881853,0.3084094524383545,0.4772552251815796
1850,1,0.14934611320495605,0.0010510818101465702,0.14871488511562347,0.0,0.17268332839012146,0.00188129220623523,0.0018828441388905048,0.30304887890815735,0.47156888246536255
1900,1,0.14378340542316437,0.0010377418948337436,0.14747975766658783,0.0,0.17000837624073029,0.0017060856334865093,0.0017066970467567444,0.2958837151527405,0.4804125726222992
1950,1,0.14364777505397797,0.0009621062781661749,0.1446409970521927,0.0,0.16739825904369354,0.001592098968103528,0.0015917331911623478,0.2926021218299866,0.4736456274986267
2000,1,0.14487747848033905,0.0010655003134161234,0.14505478739738464,0.0,0.16485410928726196,0.0015293636824935675,0.001533829839900136,0.2942258417606354,0.4770151376724243
2050,1,0.14607268571853638,0.0010113210882991552,0.14651603996753693,0.0,0.16233518719673157,0.0016314825043082237,0.00163947488181293,0.2970333397388458,0.4783329367637634
2100,1,0.14322878420352936,0.000845911621581763,0.14584630727767944,0.0,0.15984755754470825,0.0016384853515774012,0.0016408662777394056,0.2933602035045624,0.4774593114852905
2150,1,0.14212878048419952,0.0008830745937302709,0.14416703581809998,0.0,0.15720945596694946,0.0018384833820164204,0.0018333967309445143,0.29100796580314636,0.4736466705799103
2200,1,0.14312270283699036,0.0009324142010882497,0.14364686608314514,0.0,0.15486080944538116,0.001323660952039063,0.0013184999115765095,0.2904989719390869,0.4712473452091217
2250,2,0.1415737271308899,0.0008918829262256622,0.14174506068229675,0.0,0.1525355726480484,0.001366502488963306,0.0013700572308152914,0.28709977865219116,0.47370755672454834
2300,2,0.1396797001361847,0.0009172083809971809,0.13897696137428284,0.0,0.15025927126407623,0.001374991494230926,0.0013920413330197334,0.28249114751815796,0.47319290041923523
2350,2,0.13905709981918335,0.0008510203333571553,0.14201860129833221,0.0,0.14787957072257996,0.001461416482925415,0.001454770565032959,0.2849907875061035,0.4723891317844391
2400,2,0.14016979932785034,0.0008396409684792161,0.14260081946849823,0.0,0.14545026421546936,0.0016633723862469196,0.0016689484473317862,0.2870880365371704,0.4724694490432739
2450,2,0.13886576890945435,0.0008049789466895163,0.14219219982624054,0.0,0.14318667352199554,0.0015013986267149448,0.0014979859115555882,0.2850055396556854,0.47655823826789856
2500,2,0.13632115721702576,0.000945962849073112,0.1364108771085739,0.0,0.14083276689052582,0.0013554925099015236,0.0013622010592371225,0.2765365540981293,0.4700855612754822
2550,2,0.13391539454460144,0.0008239226299338043,0.13752828538417816,0.0,0.13848620653152466,0.0012813539942726493,0.0012781647965312004,0.2749656140804291,0.47514522075653076
2600,2,0.13440309464931488,0.0007223535794764757,0.13600584864616394,0.0,0.13612988591194153,0.0012540939496830106,0.0012543638003990054,0.2737758755683899,0.4727516770362854
2650,2,0.1343640685081482,0.0006804211298003793,0.13476520776748657,0.0,0.13385868072509766,0.001271852757781744,0.0012691942974925041,0.27248460054397583,0.4736085832118988
2700,2,0.13565394282341003,0.0008202323224395514,0.13769297301769257,0.0,0.13182905316352844,0.001451805466786027,0.0014570343773812056,0.27720779180526733,0.4794049859046936
2750,2,0.1341235637664795,0.0008033278281800449,0.13478586077690125,0.0,0.1299152970314026,0.0011731799459084868,0.0011697455774992704,0.2721855938434601,0.4760751724243164
2800,2,0.12945416569709778,0.0008412715396843851,0.1304939240217209,0.0,0.1279427409172058,0.001468653790652752,0.001467510825023055,0.2638534605503082,0.4760270118713379
2850,2,0.13569407165050507,0.0008296691812574863,0.1391344964504242,0.0,0.1258622109889984,0.0014068983728066087,0.0014111775672063231,0.2786021828651428,0.4737931787967682
2900,2,0.13184326887130737,0.0007151284953579307,0.1323407143354416,0.0,0.12386161834001541,0.0011846415000036359,0.0011841501109302044,0.26739174127578735,0.4715210497379303
2950,2,0.1329398900270462,0.0006685692351311445,0.13226281106472015,0.0,0.12177692353725433,0.0010920834029093385,0.0010960939107462764,0.2681812345981598,0.4725532829761505
3000,2,0.13270825147628784,0.0006888469215482473,0.1368904858827591,0.0,0.11952393501996994,0.0014258390292525291,0.001426616683602333,0.27325958013534546,0.4771710932254791
3050,2,0.12961696088314056,0.000659227604046464,0.1298641413450241,0.0,0.11716204881668091,0.0012042857706546783,0.0012034799437969923,0.2626652419567108,0.473588764667511
3100,2,0.12945294380187988,0.0007556155906058848,0.1298544853925705,0.0,0.11503864824771881,0.0013146278215572238,0.0013188044540584087,0.2628115117549896,0.474539190530777
3150,2,0.12766537070274353,0.0007380861206911504,0.12788096070289612,0.0,0.11304783821105957,0.0013483106158673763,0.0013457643799483776,0.2590915262699127,0.4739786386489868
3200,2,0.12928514182567596,0.0007164929993450642,0.1296047568321228,0.0,0.11121902614831924,0.0012024873867630959,0.0012078069848939776,0.26212790608406067,0.4740476608276367
3250,2,0.12536165118217468,0.0006279365043155849,0.1273089200258255,0.0,0.10929964482784271,0.0011942308628931642,0.0011921417899429798,0.2557941675186157,0.4762851297855377
3300,2,0.1300007700920105,0.000642258848529309,0.13343006372451782,0.0,0.10698312520980835,0.001285602105781436,0.0012862484436482191,0.2667519152164459,0.47797197103500366
3350,2,0.12269419431686401,0.0006422398728318512,0.12455849349498749,0.0,0.10522374510765076,0.001196000725030899,0.0012002410367131233,0.25039640069007874,0.4693414568901062
3400,2,0.12555527687072754,0.0006833365769125521,0.12651114165782928,0.0,0.10325184464454651,0.001206004060804844,0.0012037325650453568,0.25526273250579834,0.47514063119888306
3450,2,0.12797561287879944,0.0007546329870820045,0.1264365315437317,0.0,0.10149519145488739,0.001302494085393846,0.0013084334786981344,0.25787919759750366,0.48053520917892456
3500,2,0.12422220408916473,0.0005964779993519187,0.1258019357919693,0.0,0.09971240907907486,0.0010832359548658133,0.001083881827071309,0.25288742780685425,0.4743393659591675
3550,2,0.12355735898017883,0.0006068513612262905,0.12426549941301346,0.0,0.09773418307304382,0.0011394510511308908,0.0011427418794482946,0.2508096396923065,0.477498322725296
3600,2,0.12447988241910934,0.0006750577595084906,0.12407150119543076,0.0,0.0960816815495491,0.00136494729667902,0.001365412026643753,0.252052903175354,0.47916078567504883
3650,2,0.12210440635681152,0.0006364907021634281,0.12314057350158691,0.0,0.09398701041936874,0.0010748504428192973,0.0010753684910014272,0.24812567234039307,0.4760524034500122
3700,2,0.12214057147502899,0.0007329699583351612,0.12289980053901672,0.0,0.09201589226722717,0.001084295567125082,0.0010819426970556378,0.2480316013097763,0.47277599573135376
3750,2,0.12476680427789688,0.0004939661012031138,0.12584428489208221,0.0,0.09033183753490448,0.0010745545150712132,0.0010713895317167044,0.25334134697914124,0.4750139117240906
3800,2,0.1213073581457138,0.0007319450960494578,0.12209531664848328,0.0,0.08841092139482498,0.0011103389551863074,0.001109074568375945,0.24644243717193604,0.47518640756607056
3850,2,0.119399294257164,0.0006107641384005547,0.1203240156173706,0.0,0.08673080056905746,0.0011590903159230947,0.0011560933198779821,0.24273596704006195,0.47583532333374023
3900,2,0.12426013499498367,0.0007053289446048439,0.12440209090709686,0.0,0.0847269594669342,0.0012275922344997525,0.0012299674563109875,0.25190985202789307,0.476898729801178
3950,2,0.11955985426902771,0.0005831366288475692,0.12261119484901428,0.0,0.0828876942396164,0.0009828844340518117,0.000985798891633749,0.24480575323104858,0.46952998638153076
4000,2,0.11907364428043365,0.0006045842310413718,0.12388572096824646,0.0,0.080734983086586,0.0009849583730101585,0.0009868086781352758,0.24561645090579987,0.47500136494636536
4050,2,0.11590470373630524,0.0006249538855627179,0.11817394196987152,0.0,0.07872076332569122,0.0010817190632224083,0.0010831048712134361,0.23694714903831482,0.4733634889125824
4100,2,0.12090887129306793,0.0007111652521416545,0.1218860074877739,0.0,0.07667877525091171,0.0012365856673568487,0.0012410418130457401,0.2460603564977646,0.47783729434013367
4150,2,0.1231408640742302,0.0006133635761216283,0.12150357663631439,0.0,0.07512803375720978,0.0010323513997718692,0.0010366443311795592,0.24740192294120789,0.4778980016708374
4200,2,0.12116006016731262,0.0007024304359219968,0.12064556032419205,0.0,0.07331222295761108,0.0010671529453247786,0.0010691004572436213,0.24471762776374817,0.4787833094596863
